N,ns/op
4600.0,0.974868
4100.0,1.035098
800.0,1.005372
4700.0,0.957177
2800.0,1.006911
4100.0,1.033584
3200.0,1.014647
2500.0,0.874554
4100.0,0.937656
500.0,1.04702
4700.0,0.973734
4900.0,0.869128
1400.0,0.979203
300.0,0.879046
3500.0,0.899186
3800.0,0.891036
2900.0,1.022511
2800.0,0.983017
2600.0,0.931139
4200.0,0.987504
3000.0,0.930234
4600.0,0.926567
2000.0,0.966683
700.0,1.019224
100.0,1.076716
500.0,1.071269
700.0,0.963936
500.0,0.923393
400.0,0.879296
4300.0,1.020348
4800.0,0.95097
3900.0,0.948492
3300.0,0.966501
1000.0,1.039017
2800.0,1.01797
2900.0,0.907684
2700.0,1.012291
3000.0,0.996428
3400.0,0.910367
1400.0,0.952536
1200.0,1.018951
2700.0,0.891194
200.0,0.910033
2100.0,0.863872
4700.0,0.924237
2400.0,0.920646
600.0,0.863467
2500.0,0.889508
1600.0,1.018281
4000.0,1.007013
2500.0,0.908769
3100.0,0.950897
100.0,0.866605
1800.0,0.904683
2000.0,0.947461
200.0,1.112988
3700.0,0.858682
2700.0,0.911619
900.0,0.913796
3100.0,1.013261
1400.0,0.945244
1200.0,1.064782
4700.0,0.88439
800.0,1.045427
1900.0,1.09369
3200.0,0.947146
400.0,1.100391
800.0,1.072472
4700.0,0.859126
2000.0,0.866321
2100.0,0.874091
3300.0,0.880687
1900.0,1.035135
3900.0,0.861053
3100.0,0.886995
200.0,0.866394
1100.0,1.057946
1700.0,1.0395
3700.0,0.971044
1600.0,0.937441
1000.0,0.989838
4800.0,0.864996
1200.0,1.036804
400.0,1.003191
600.0,0.95777
2700.0,0.910384
1100.0,0.944271
3700.0,0.877326
1100.0,0.960863
4700.0,0.919343
3700.0,0.945543
2600.0,0.86553
800.0,0.942117
900.0,0.888341
3600.0,0.872382
3300.0,0.921718
4700.0,0.863764
2300.0,0.997391
1400.0,1.060288
2400.0,1.02887
3300.0,0.9962
4200.0,1.003684
4600.0,0.93987
3000.0,0.866316
1000.0,0.986109
4400.0,0.88035
4800.0,0.967354
2000.0,1.007327
2000.0,1.05129
1500.0,0.982732
300.0,0.868666
1700.0,0.95786
1200.0,0.895652
1700.0,1.054903
4600.0,0.90539
1600.0,1.046888
300.0,1.079366
2300.0,0.949642
4300.0,0.867948
2900.0,0.971693
300.0,1.297303
3300.0,0.882346
3500.0,0.885111
3700.0,0.981022
3900.0,0.955975
3100.0,0.995201
3700.0,0.996722
100.0,1.136854
200.0,1.060308
4500.0,1.001287
3400.0,0.912453
2600.0,0.91393
4000.0,0.935949
4900.0,0.930663
3100.0,0.911238
4200.0,0.966698
900.0,0.886027
1900.0,0.933622
2600.0,0.900566
2100.0,1.052569
3400.0,1.04015
1600.0,1.06669
1500.0,1.063168
3100.0,0.920952
1600.0,1.057056
200.0,1.056495
1000.0,0.945467
1800.0,0.881523
1700.0,0.934988
500.0,0.873713
1700.0,0.912114
2200.0,0.940364
2000.0,0.927206
700.0,1.110218
2500.0,1.045587
2900.0,1.011547
2900.0,0.911107
4800.0,0.891057
500.0,1.064002
2000.0,0.989413
200.0,0.887721
2400.0,0.871059
1800.0,1.039565
1400.0,1.015374
4900.0,0.907977
600.0,0.990936
3900.0,1.030415
2500.0,1.033556
1700.0,1.003944
4300.0,0.915211
1100.0,0.983623
500.0,0.88435
2100.0,1.041653
600.0,1.047005
3100.0,0.907973
3100.0,0.964761
200.0,1.123414
1100.0,1.05865
600.0,1.068037
4900.0,1.019286
100.0,1.331775
3900.0,0.938858
2700.0,1.017696
1400.0,1.041803
4100.0,0.934305
1400.0,0.95636
4700.0,0.87403
4500.0,0.96064
1100.0,1.064057
300.0,0.858334
1300.0,1.095552
3200.0,0.874399
3400.0,0.885135
1600.0,1.020081
1300.0,1.025972
4900.0,0.866761
2500.0,0.925596
1600.0,1.064367
900.0,0.892313
300.0,0.910388
100.0,1.018438
400.0,0.949113
1200.0,1.073303
4000.0,0.902859
4500.0,0.902849
4400.0,0.873317
4600.0,0.969665
4200.0,1.010287
200.0,0.844821
300.0,0.924795
2900.0,0.881665
4900.0,0.879724
1500.0,0.964906
2900.0,0.903845
3000.0,0.963053
3900.0,0.977306
1700.0,1.049929
1200.0,1.044956
4800.0,0.947387
600.0,0.957026
1200.0,1.054657
3400.0,0.975063
2900.0,1.037149
4100.0,0.933586
1100.0,1.017776
4800.0,0.862747
1800.0,1.053897
3700.0,0.990053
1300.0,1.008653
2700.0,0.876098
600.0,0.921971
900.0,0.894764
3100.0,0.924452
4300.0,0.888691
4300.0,0.881778
1200.0,0.895239
4800.0,0.877612
400.0,0.960988
1000.0,0.955713
2200.0,1.055934
3600.0,0.890306
300.0,0.873271
200.0,1.253284
1500.0,0.876484
1400.0,0.965131
800.0,1.02574
4900.0,0.915903
1100.0,0.968621
500.0,0.95982
2900.0,1.03709
4900.0,0.929989
1500.0,1.019086
4100.0,0.998954
3100.0,0.900098
1500.0,1.05406
3800.0,0.864131
2200.0,1.039463
1300.0,0.908746
2600.0,0.883126
700.0,0.954032
900.0,1.044176
800.0,0.966993
1900.0,0.878671
1400.0,0.928106
2100.0,1.049559
3200.0,0.944976
2600.0,1.058118
600.0,1.075368
2000.0,0.89929
2600.0,1.050365
300.0,1.115728
2200.0,0.917798
2800.0,0.953024
1800.0,1.052006
2100.0,1.051885
2100.0,0.882103
4000.0,0.986666
1700.0,0.926133
3100.0,0.861188
4800.0,0.978838
500.0,1.093794
4200.0,0.983962
4100.0,0.979351
2400.0,1.036981
3500.0,0.890164
300.0,0.862837
1500.0,0.944882
1100.0,1.01109
200.0,0.843852
2500.0,0.939996
100.0,1.000273
2200.0,1.068829
4900.0,0.924805
3600.0,0.965609
3200.0,1.076549
2400.0,0.961816
900.0,1.023183
2600.0,1.038352
3600.0,1.025905
4000.0,1.041617
2700.0,0.971043
1800.0,0.897888
2700.0,0.913326
4900.0,0.87635
400.0,0.953024
2800.0,0.883147
1500.0,1.06283
600.0,0.919157
2600.0,0.86324
4600.0,0.887445
3100.0,1.04567
3900.0,0.904633
2000.0,0.873784
2300.0,0.878474
3600.0,0.998871
4100.0,1.003862
2700.0,0.952185
4200.0,1.035636
1100.0,1.023688
700.0,1.022073
1500.0,1.058411
2100.0,0.992467
1000.0,1.008984
1500.0,0.956666
4000.0,0.864363
2500.0,1.00414
4300.0,0.87783
2000.0,0.943892
2800.0,0.868233
4700.0,0.933346
2600.0,0.902137
2700.0,1.032908
3600.0,0.9755
1900.0,1.049309
3600.0,1.035102
1000.0,1.004972
700.0,1.076792
4900.0,0.931632
2300.0,1.034224
3100.0,0.962493
1700.0,0.990993
4200.0,0.966864
200.0,1.069734
4600.0,0.880168
1800.0,0.956727
500.0,0.873848
1300.0,0.887049
400.0,0.879308
3100.0,0.872738
